student_id,q1_academic,q2_academic,q3_academic,q4_academic,q5_academic,q6_academic,q7_personality,q8_personality,q9_personality,q10_personality,q11_personality,q12_personality,personality_type,learning_style,study_behavior
1,Rarely distracted,Alone,Practice problems,Always finish homework,Plan study schedule,Try by myself,Breaks problems into steps,Logical tasks,Coding,Leader in team,Motivated by results,Learn by doing,Analytical & Leader,Kinesthetic & Reading/Writing,Focused & Self-motivated
2,Sometimes distracted,With friends,Group discussion,Often finish homework,Spontaneous,Ask teacher,Thinks creatively,Creative tasks,Art & Design,Idea generator in team,Motivated by creating something,Learn by watching videos,Creative & Social,Visual & Auditory,Moderately focused & Collaborative
3,Never distracted,Alone,Practice problems,Always finish homework,Plan study schedule,Try by myself,Breaks problems into steps,Logical tasks,Coding,Observer in team,Motivated by learning,Learn by reading notes,Analytical & Reflective,Reading/Writing & Kinesthetic,Highly Focused & Independent
4,Often distracted,With friends,Group discussion,Sometimes finish homework,Spontaneous,Ask teacher,Thinks creatively,Creative tasks,Art & Design,Supporter in team,Motivated by helping others,Learn by doing,Creative & Social,Kinesthetic & Visual,Moderately focused & Collaborative
5,Rarely distracted,Alone,Practice problems,Always finish homework,Plan study schedule,Try by myself,Breaks problems into steps,Logical tasks,Coding,Leader in team,Motivated by achieving results,Learn by doing,Analytical & Leader,Kinesthetic & Reading/Writing,Focused & Self-motivated
6,Sometimes distracted,With friends,Group discussion,Often finish homework,Spontaneous,Ask teacher,Thinks creatively,Creative tasks,Art & Design,Idea generator in team,Motivated by creating something,Learn by watching videos,Creative & Social,Visual & Auditory,Moderately focused & Collaborative
7,Never distracted,Alone,Practice problems,Always finish homework,Plan study schedule,Try by myself,Breaks problems into steps,Logical tasks,Coding,Observer in team,Motivated by learning,Learn by reading notes,Analytical & Reflective,Reading/Writing & Kinesthetic,Highly Focused & Independent
8,Often distracted,With friends,Group discussion,Sometimes finish homework,Spontaneous,Ask teacher,Thinks creatively,Creative tasks,Art & Design,Supporter in team,Motivated by helping others,Learn by doing,Creative & Social,Kinesthetic & Visual,Moderately focused & Collaborative
9,Rarely distracted,Alone,Practice problems,Always finish homework,Plan study schedule,Try by myself,Breaks problems into steps,Logical tasks,Coding,Leader in team,Motivated by results,Learn by doing,Analytical & Leader,Kinesthetic & Reading/Writing,Focused & Self-motivated
10,Sometimes distracted,With friends,Group discussion,Often finish homework,Spontaneous,Ask teacher,Thinks creatively,Creative tasks,Art & Design,Idea generator in team,Motivated by creating something,Learn by watching videos,Creative & Social,Visual & Auditory,Moderately focused & Collaborative
